Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
American Athletic,East,UCF,8,0,359,187,13,0,627,329,7,0,5,0,W13,4,0,4,0,2017
American Athletic,East,South Florida,6,2,301,186,10,2,459,282,5,1,4,1,W1,0,1,0,1,2017
American Athletic,East,Temple,4,4,209,218,7,6,326,335,3,3,3,3,W2,0,3,0,3,2017
American Athletic,East,East Carolina,2,6,215,369,3,9,299,540,2,5,1,4,L1,0,4,0,4,2017
American Athletic,East,Cincinnati,2,6,169,277,4,8,251,382,2,4,2,4,W1,0,2,0,2,2017
American Athletic,East,Connecticut,2,6,210,306,3,9,283,455,2,4,1,4,L5,0,3,0,3,2017
American Athletic,West,Memphis,7,1,388,234,10,3,592,422,7,1,3,2,L2,0,2,0,2,2017
American Athletic,West,Houston,5,3,231,207,7,5,339,286,4,2,3,2,L1,1,1,1,1,2017
American Athletic,West,Navy,4,4,227,233,7,6,396,342,5,1,2,4,W1,0,3,0,3,2017
American Athletic,West,SMU,4,4,290,303,7,6,492,477,6,1,1,4,L1,0,3,0,3,2017
American Athletic,West,Tulane,3,5,242,240,5,7,330,350,4,2,1,5,L1,0,3,0,3,2017
American Athletic,West,Tulsa,1,7,198,279,2,10,352,450,2,4,0,6,L5,0,3,0,3,2017
Atlantic Coast,Atlantic,Clemson,7,1,257,141,12,2,466,190,7,0,4,1,L1,3,1,3,1,2017
Atlantic Coast,Atlantic,NC State,6,2,239,191,9,4,419,328,5,1,3,2,W2,0,2,0,2,2017
Atlantic Coast,Atlantic,Wake Forest,4,4,250,232,8,5,459,368,4,2,3,3,W1,0,2,0,2,2017
Atlantic Coast,Atlantic,Boston College,4,4,204,177,7,6,334,297,2,4,4,1,L1,0,3,0,3,2017
Atlantic Coast,Atlantic,Louisville,4,4,292,267,8,5,495,356,4,2,3,2,L1,0,2,0,2,2017
Atlantic Coast,Atlantic,Florida State,3,5,156,201,7,6,362,276,3,3,3,2,W4,0,3,0,3,2017
Atlantic Coast,Atlantic,Syracuse,2,6,189,297,4,8,329,386,4,3,0,5,L5,1,2,1,2,2017
Atlantic Coast,Coastal,Miami,7,1,217,150,10,3,378,273,7,1,3,1,L3,2,2,2,2,2017
Atlantic Coast,Coastal,Virginia Tech,5,3,185,121,9,4,366,192,5,1,3,2,L1,0,3,0,3,2017
Atlantic Coast,Coastal,Georgia Tech,4,4,224,202,5,6,309,292,5,1,0,4,L2,1,3,1,3,2017
Atlantic Coast,Coastal,Pittsburgh,3,5,182,196,5,7,287,319,4,3,1,4,W1,1,3,1,3,2017
Atlantic Coast,Coastal,Virginia,3,5,161,235,6,7,293,369,4,3,2,4,L4,1,2,1,2,2017
Atlantic Coast,Coastal,Duke,3,5,158,184,7,6,345,263,4,3,2,3,W3,1,2,1,2,2017
Atlantic Coast,Coastal,North Carolina,1,7,154,274,3,9,312,375,1,6,2,3,L1,0,3,0,3,2017
