season,week,date,home_team,home_points,home_code,away_team,away_points,away_code,neutral_site,venue
2001,1,20010823,Louisville,45,18,New Mexico State,24,69,False,Papa John's Cardinal Stadium
2001,1,20010824,Nebraska,21,34,TCU,7,47,False,
2001,1,20010825,Wisconsin,26,40,Virginia,17,24,False,Camp Randall Stadium
2001,1,20010825,BYU,70,66,Tulane,35,11,False,LaVell Edwards Stadium
2001,1,20010825,Oklahoma,10,45,North Carolina,0,21,False,Gaylord Family Oklahoma Memorial Stadium
2001,1,20010826,Syracuse,7,23,Georgia Tech,13,17,False,
2001,1,20010826,Colorado,22,98,Fresno St.,24,86,False,Folsom Field
2001,2,20010830,Toledo,38,81,Minnesota,7,33,False,Glass Bowl
2001,2,20010830,Temple,45,10,Navy,26,7,False,Franklin Field
2001,2,20010830,Akron,31,71,Ohio,29,80,False,
2001,2,20010830,Western Michigan,48,82,Illinois State,7,182,False,Waldo Stadium
2001,2,20010830,Arkansas,14,108,UNLV,10,92,False,Donald W. Reynolds Razorback Stadium Frank Broyles Field
2001,2,20010830,Central Michigan,42,75,Eastern Kentucky,28,203,False,Kelly/Shorts Stadium
2001,2,20010830,Buffalo,15,74,Rutgers,31,39,False,UB Stadium
2001,2,20010830,Northern Illinois,20,79,South Florida,17,9,False,Brigham Field at Huskie Stadium
2001,2,20010830,UAB,41,61,Montana State,13,136,False,Legion Field
2001,2,20010830,Tulsa,51,12,Indiana State,0,183,False,
2001,2,20010830,Vanderbilt,28,120,Middle Tennessee,37,56,False,Vanderbilt Stadium
2001,2,20010830,Washington St.,36,106,Idaho,7,133,False,Martin Stadium
2001,2,20010830,San Diego St.,10,90,Arizona,23,95,False,Qualcomm Stadium
2001,2,20010901,Virginia Tech,52,25,Connecticut,10,3,False,Lane Stadium
2001,2,20010901,Southern Miss,17,60,Oklahoma St.,9,46,False,M. M. Roberts Stadium
2001,2,20010901,Maryland,23,30,North Carolina,7,21,False,Maryland Stadium
2001,2,20010901,Boston College,34,13,West Virginia,10,50,False,Alumni Stadium
2001,2,20010901,Iowa,51,29,Kent State,0,77,False,Kinnick Stadium
2001,2,20010901,Nebraska,42,34,Troy,14,129,False,Memorial Stadium
2001,2,20010901,Kentucky,10,112,Louisville,36,18,False,Commonwealth Stadium
2001,2,20010901,Georgia,45,111,Arkansas St.,17,122,False,Sanford Stadium
2001,2,20010901,Clemson,21,14,Central Florida,13,1,False,Memorial Stadium
2001,2,20010901,Louisiana,20,126,Nicholls State,0,242,False,Cajun Field
2001,2,20010901,Colorado St.,14,85,Colorado,41,98,False,
2001,2,20010901,Michigan,31,31,Miami (OH),13,78,False,Michigan Stadium
2001,2,20010901,Air Force,3,83,Oklahoma,44,45,False,Falcon Stadium
2001,2,20010901,California,17,97,Illinois,44,27,False,California Memorial Stadium
2001,2,20010901,Tennessee,33,118,Syracuse,9,23,False,Neyland Stadium
2001,2,20010901,Wyoming,20,94,Furman,14,230,False,War Memorial Stadium
2001,2,20010901,Virginia,17,24,Richmond,16,159,False,Scott Stadium
2001,2,20010901,Auburn,30,109,Ball St.,0,72,False,Jordan-Hare Stadium
2001,2,20010901,Duke,13,15,Florida St.,55,16,False,Wallace Wade Stadium
2001,2,20010901,Georgia Tech,35,17,Citadel,7,228,False,Bobby Dodd Stadium at Historic Grant Field
2001,2,20010901,Pittsburgh,31,22,East Tennessee St.,0,229,False,
2001,2,20010901,Eastern Michigan,16,76,Southeast Missouri,12,206,False,Rynearson Stadium
2001,2,20010901,USC,21,103,San Jose St.,10,91,False,Los Angeles Memorial Coliseum
2001,2,20010901,Texas,41,48,New Mexico State,7,69,False,Darrell K Royal-Texas Memorial Stadium
2001,2,20010901,South Carolina,32,117,Boise St.,13,84,False,Williams-Brice Stadium
2001,2,20010901,East Carolina,19,4,Wake Forest,21,26,False,Dowdy-Ficklen Stadium
2001,2,20010901,Texas A&M,38,119,McNeese State,24,241,False,Kyle Field
2001,2,20010901,Ole Miss,49,116,Murray State,14,205,False,Vaught-Hemingway Stadium
2001,2,20010901,Kansas,24,43,Missouri State,10,184,False,Memorial Stadium
2001,2,20010901,UL Monroe,9,130,Sam Houston State,20,244,False,Malone Stadium
2001,2,20010901,Florida,49,110,Marshall,14,55,False,
2001,2,20010901,Missouri,13,115,Bowling Green,20,73,False,Faurot Field
2001,2,20010901,Alabama,17,107,UCLA,20,102,False,Bryant Denny Stadium
2001,2,20010901,LSU,48,113,Tulane,17,11,False,Tiger Stadium
2001,2,20010901,Utah,23,104,Utah St.,19,93,False,
2001,2,20010901,Houston,14,5,Rice,21,59,False,Robertson Stadium
2001,2,20010901,Louisiana Tech,36,54,SMU,6,8,False,
2001,2,20010901,Penn State,7,37,Miami (FL),33,19,False,Beaver Stadium
2001,2,20010901,Oregon,31,99,Wisconsin,28,40,False,Autzen Stadium
2001,2,20010901,New Mexico,26,89,UTEP,6,62,False,University Stadium
2001,2,20010901,North Texas,5,57,TCU,19,47,False,
2001,2,20010901,BYU,52,66,Nevada,7,88,False,LaVell Edwards Stadium
2001,2,20010902,Cincinnati,14,2,Purdue,19,38,False,Nippert Stadium
2001,2,20010902,Fresno St.,44,86,Oregon St.,24,100,False,Bulldog Stadium
2001,2,20010903,Mississippi St.,30,114,Memphis,10,6,False,Davis Wade Stadium
2001,3,20010906,NC State,35,20,Indiana,14,28,False,Carter-Finley Stadium
2001,3,20010906,Wyoming,20,94,Texas A&M,28,119,False,War Memorial Stadium
2001,3,20010907,UNLV,28,92,Northwestern,37,35,False,Sam Boyd Stadium
2001,3,20010908,Navy,7,7,Georgia Tech,70,17,False,Navy-Marine Corps Memorial Stadium
2001,3,20010908,Texas,44,48,North Carolina,14,21,False,Darrell K Royal-Texas Memorial Stadium
2001,3,20010908,Virginia Tech,31,25,Western Michigan,0,82,False,Lane Stadium
2001,3,20010908,Syracuse,21,23,Central Florida,10,1,False,Carrier Dome
2001,3,20010908,Iowa,44,29,Miami (OH),19,78,False,Kinnick Stadium
2001,3,20010908,Illinois,17,27,Northern Illinois,12,79,False,Memorial Stadium
2001,3,20010908,Ohio St.,28,36,Akron,14,71,False,Ohio Stadium
2001,3,20010908,Wisconsin,20,40,Fresno St.,32,86,False,Camp Randall Stadium
2001,3,20010908,Kansas,17,43,UCLA,41,102,False,Memorial Stadium
2001,3,20010908,Vanderbilt,9,120,Alabama,12,107,False,Vanderbilt Stadium
