Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
David Akers,K,26.274,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,akersdav01
Gary Anderson,K,42.055,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,1,2,50.0,,1,0.0,,,0,1,andergar02
Jake Arians,K,23.226,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,,,,2,2,100.0,,,0,6,arianjak01
Kris Brown,PK,24.260,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,,,,1,1,100.0,,,0,3,brownkri01
John Carney,K,37.142,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,carnejoh01
Brett Conway,K,26.185,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,,,,1,1,100.0,,,0,3,conwabre01
Jose Cortez,K,26.105,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,cortejos01
Phil Dawson,K,26.229,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,,,,2,3,66.7,,,0,6,dawsophi01
Paul Edinger,K,23.235,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,,,,2,3,66.7,,,0,6,edingpau01
Jay Feely,K,25.109,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,feelyjay01
Martin Gramatica,K,25.286,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,gramamar01
John Hall,K,27.176,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,hallxjoh01
Jason Hanson,K,31.084,2001-09-09,NFL,DET,@,GNB,L 6-28,1,1,Sun,,,,2,2,100.0,,,0,6,hansojas01
Mike Hollis,PK,29.110,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,3,3,100.0,,1,0.0,,,0,3,hollimik01
Sebastian Janikowski,K,23.191,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,janikseb01
John Kasay,PK,31.317,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,kasayjoh01
Rian Lindell,K,24.232,2001-09-09,NFL,SEA,@,CLE,W 9-6,1,1,Sun,,,,3,4,75.0,,,0,9,linderia01
Ryan Longwell,K,27.024,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,4,4,100.0,,1,0.0,,,0,4,longwrya01
Olindo Mare,K,28.095,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,marexoli01
Joe Nedney,K,28.171,2001-09-09,NFL,TEN,,MIA,L 23-31,1,1,Sun,2,3,66.7,1,1,100.0,,,0,5,nednejoe01
Todd Peterson,PK,31.217,2001-09-09,NFL,KAN,,OAK,L 24-27,1,1,Sun,3,3,100.0,1,2,50.0,,,0,6,petertod01
