Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Mike Vanderjagt,K,34.169,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,3,3,100.0,1,2,50.0,,,0,6,vandemik01
Adam Vinatieri,K,31.256,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,3,3,100.0,2,2,100.0,,,0,9,vinatada01
Aaron Elling,K,26.103,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,2,2,100.0,1,2,50.0,,,0,5,ellinaar01
Olindo Mare,K,31.097,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,1,1,100.0,,1,0.0,,,0,1,marexoli01
David Akers,K,29.278,2004-09-12,NFL,PHI,,NYG,W 31-17,1,1,Sun,4,4,100.0,1,2,50.0,,,0,7,akersdav01
Morten Andersen*,K,44.024,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,5,5,100.0,,,,,,0,5,andermor01
Doug Brien,K,33.293,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,briendou01
Josh Brown,K,25.136,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,3,3,100.0,,,,,,0,3,brownjos01
Kris Brown,PK,27.264,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,brownkri01
John Carney,K,40.145,2004-09-12,NFL,NOR,,SEA,L 7-21,1,1,Sun,1,1,100.0,,,,,,0,1,carnejoh01
Steve Christie,K,36.304,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,chrisste01
Billy Cundiff,K,24.166,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,cundibil01
Phil Dawson,K,29.233,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,dawsophi01
Paul Edinger,K,26.239,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,2,2,100.0,,1,0.0,,,0,2,edingpau01
Jason Elam,K,34.188,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,elamxjas01
Jay Feely,K,28.112,2004-09-12,NFL,ATL,@,SFO,W 21-19,1,1,Sun,3,3,100.0,,,,,,0,3,feelyjay01
Shayne Graham,K,26.278,2004-09-12,NFL,CIN,@,NYJ,L 24-31,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,grahasha01
Martin Gramatica,K,28.290,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,gramamar01
John Hall,K,30.179,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,1,1,100.0,3,4,75.0,,,0,10,hallxjoh01
Jason Hanson,K,34.087,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,hansojas01
Sebastian Janikowski,K,26.194,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,janikseb01
Nate Kaeding,K,22.170,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,kaedinat01
Rian Lindell,K,27.236,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,linderia01
Todd Peterson,K,34.221,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,petertod01
Neil Rackers,K,28.027,2004-09-12,NFL,ARI,@,STL,L 10-17,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,rackenei01
Jeff Reed,K,25.156,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,reedxjef01
Josh Scobee,K,22.081,2004-09-12,NFL,JAX,@,BUF,W 13-10,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,scobejos01
Lawrence Tynes,K,26.132,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,3,3,100.0,1,2,50.0,,,0,6,tyneslaw01
John Kasay,K,34.322,2004-09-13,NFL,CAR,,GNB,L 14-24,1,1,Mon,2,2,100.0,,,,,,0,2,kasayjoh01
Ryan Longwell,K,30.028,2004-09-13,NFL,GNB,@,CAR,W 24-14,1,1,Mon,3,3,100.0,1,1,100.0,,,0,6,longwrya01
Gary Anderson,K,45.065,2004-09-19,NFL,TEN,,IND,L 17-31,2,2,Sun,2,2,100.0,1,1,100.0,,,0,5,andergar02
